date,SAVI_max,SAVI_mean,SAVI_min,SAVI_stdDev,cloud_cover,is_interpolated
2023-04-06,0.5098801065719359,0.3005356216353234,0.08978992545742041,0.15972648748303972,1.946425,False
2023-04-07,0.5056762529600943,0.10178170776485518,0.09083760754854958,0.15944216083006493,,True
2023-04-08,0.503139704244635,0.11082586394363289,0.09156077996620901,0.15932003580382811,,True
2023-04-09,0.5021051684907702,0.12178857312716705,0.09198863302905892,0.15934295049250896,,True
2023-04-10,0.5024073537637125,0.13441778694054082,0.09215035705575958,0.1594937429842872,,True
2023-04-11,0.503880968128674,0.14846145700883737,0.09207514236497123,0.1597552513673426,,True
2023-04-12,0.5063607196508676,0.16366753495713987,0.09179217927535417,0.16011031372985485,,True
2023-04-13,0.5096813163955053,0.1797839724105315,0.09133065810556863,0.16054176816000373,,True
2023-04-14,0.5136774664277998,0.19655872099409538,0.09071976917427486,0.16103245274596895,,True
2023-04-15,0.5181838778129633,0.21373973233291452,0.08998870280013309,0.16156520557593024,,True
2023-04-16,0.5230352586162083,0.231074958052072,0.08916664930180364,0.16212286473806736,,True
2023-04-17,0.5280663169027472,0.24831234977665093,0.08828279899794673,0.16268826832056008,,True
2023-04-18,0.5331117607377925,0.26519985913173444,0.08736634220722261,0.16324425441158807,,True
2023-04-19,0.5380062981865565,0.30769693250164465,0.08644646924829154,0.16377366109933109,4.018278,False
2023-04-20,0.5425846373142519,0.2968878578487656,0.08555237043981381,0.1642593264719689,,True
2023-04-21,0.5466814861860907,0.3157175965459096,0.0847132361004496,0.16468408861768116,27.84341,False
2023-05-26,0.5768322675848501,0.37265686327095715,0.11887033294330389,0.16776489313120824,18.715623,False
2023-05-27,0.5833913247259022,0.37812076173696385,0.12186849157672386,0.16865267375358314,,True
2023-05-28,0.5899192745849896,0.37724888708023385,0.12422935812964084,0.1695397544884336,,True
2023-05-29,0.5955953693048951,0.3762122863497483,0.1251791776883153,0.1703208309265508,,True
2023-05-30,0.5995988610284014,0.3747623892185389,0.12394419533900783,0.17089059865872588,,True
2023-05-31,0.6011090018982915,0.37481346950399147,0.11975065616797902,0.17114375327575007,0.323089,False
2023-06-01,0.5996320746064002,0.3698559018413355,0.11302445018196393,0.17079734326698287,,True
2023-06-02,0.5959824840407699,0.367288663754399,0.10899004706959585,0.16885782871605662,,True
2023-06-03,0.5913016656384947,0.36132554169936176,0.11407156143998251,0.16415402260517187,0.806341,False
2023-06-04,0.58667850655636,0.36686712735234733,0.13101632506844632,0.15648591495397624,,True
2023-06-05,0.5829917008299171,0.3720497466956113,0.14786453839516822,0.14953820393190595,11.382829,False
2023-06-06,0.5808781279597455,0.36819963598767724,0.15241094442416528,0.1469265626961083,,True
2023-06-07,0.5802176024277721,0.36717523252437795,0.14617558774994038,0.14810585620478653,,True
2023-06-08,0.5807006724612616,0.3655009228022239,0.13410983836461807,0.15149074736640805,,True
2023-06-09,0.5820178862874781,0.36363701772118207,0.1211650662603228,0.1554958990894402,,True
2023-06-10,0.5838597921336864,0.36207600617548436,0.1122926414291791,0.15853597428235042,1.282262,False
2023-06-11,0.5858757639321561,0.3610420227665314,0.11099673132965371,0.15944988053620207,,True
2023-06-12,0.5875504784351786,0.3603940225781556,0.11499269328558248,0.158773504172443,,True
2023-06-13,0.5883274381000504,0.362653263331999,0.1205486820871436,0.157466976195117,12.864771,False
2023-06-14,0.5877748358467516,0.35871801371227263,0.12459667844728517,0.15632485158370193,,True
2023-06-15,0.5859596264459962,0.35736963331980587,0.12672396677003506,0.1554793812194124,,True
2023-06-16,0.5830734551311821,0.35573431472373285,0.1271816573821911,0.1548972399588969,,True
2023-06-17,0.5793079671357063,0.35386890742382837,0.12622086061055104,0.15454510265880397,,True
2023-06-18,0.5748548076929668,0.35183026091986724,0.12409268678191286,0.15438964417578233,,True
2023-06-19,0.5699056220363609,0.3496752247116242,0.12104824622307427,0.15439753936648049,,True
2023-06-20,0.564652055399286,0.3474606482988741,0.11733864926083307,0.15453546308754698,,True
2023-06-21,0.5592857530151396,0.3452433811813915,0.11321500622198712,0.15477009019563046,,True
2023-06-22,0.5539983601173195,0.34308027285895115,0.10892842743333425,0.1550680955473795,,True
2023-06-23,0.5489815219392231,0.3410281728313279,0.10473002322167228,0.15539615399944265,,True
2023-06-24,0.5444268837142479,0.3391439305982966,0.100870903913799,0.15572094040846854,,True
2023-06-25,0.5405260906757913,0.33506132296428354,0.09760217983651227,0.15600912963110572,16.170108,False
2023-06-26,0.5374216661793065,0.33609567257017514,0.09511847743424484,0.1562334340991621,,True
2023-06-27,0.5350596460684682,0.33495665537807684,0.09338848762196919,0.15639071654508263,,True
2023-06-28,0.5333369443090066,0.33403549318655473,0.09232441743229275,0.15648387727647156,,True
2023-06-29,0.5321504748666521,0.333300335098826,0.09183847389782299,0.15651581660093328,,True
2023-06-30,0.531397151707135,0.33271933021810796,0.09184286405116734,0.156489434826072,,True
2023-07-01,0.5309738887961853,0.3322606276476179,0.09224979492493322,0.15640763225949203,,True
2023-07-02,0.5307776000995336,0.3318923764905731,0.09297147355172813,0.15627330920879764,,True
2023-07-03,0.5307051995829098,0.33158272585019116,0.09392010696415942,0.1560893659815931,,True
2023-07-04,0.5306536012120446,0.33129982482968906,0.09500790219483461,0.15585870288548276,,True
2023-07-05,0.530519718952668,0.3310118225322841,0.09614706627636109,0.15558422022807084,,True
2023-07-06,0.5302004667705105,0.33068686806119335,0.09724980624134633,0.15526881831696165,,True
2023-07-07,0.5295927586313018,0.33029311051963395,0.0982283291223977,0.1549153974597594,,True
2023-07-08,0.5285935085007728,0.33089936559335315,0.09899484195212274,0.1545268579640685,17.423841,False
2023-08-19,0.5601604278074866,0.3676018401763622,0.10527002348030268,0.16813882545906916,16.650784,False
2023-08-20,0.575687547476642,0.38808632234153856,0.11093868983859777,0.17064846733144307,,True
2023-08-21,0.5912284712070681,0.3957918132849413,0.11666818715103686,0.17312394208787818,,True
2023-08-22,0.6055247503725077,0.4029838376059378,0.12198857381969665,0.17536247073496694,,True
2023-08-23,0.617317936346703,0.40914733109890356,0.12642990824665368,0.17716127427930156,,True
2023-08-24,0.625349580503396,0.4272711286921599,0.12952224883398464,0.17831757372747448,28.123298,False
2023-08-25,0.6287086029600799,0.41644051565610235,0.1309193043596442,0.1786893772213776,,True
2023-08-26,0.6278733988092521,0.41734739856756864,0.1307693851050992,0.17837784144410135,,True
2023-08-27,0.6236697318871605,0.41678013434547057,0.12934445172769468,0.17754491021403584,,True
2023-08-28,0.616923366030053,0.41503097904266567,0.12691646488477545,0.176352527349571,,True
2023-08-29,0.6084600650741785,0.41239218871201144,0.1237573852336866,0.174962636669097,,True
2023-08-30,0.5991055928557842,0.4091560194063652,0.12013917343177295,0.17353718199100382,,True
2023-08-31,0.5896857132111191,0.40561472717858443,0.11633379013637951,0.17223810713368154,,True
2023-09-01,0.5810261899764304,0.40206056808152646,0.11261319600485112,0.17122735591552013,,True
2023-09-02,0.5739527869879669,0.398785798168049,0.10924935169453281,0.17066687215490972,,True
2023-09-03,0.5692912680819765,0.39608267349100934,0.1065142178627695,0.17071859967024036,,True
2023-09-04,0.5678673970947075,0.3942434501032651,0.10467975516690614,0.17154448227990207,,True
2023-09-05,0.5705069378624076,0.39356038405767363,0.10401792426428763,0.17330646380228487,,True
2023-09-06,0.5780356542213252,0.37409532141295526,0.1048006858122589,0.17616648805577884,0.122498,False
2023-09-07,0.5900260250301187,0.39639128398817136,0.10698383845173917,0.17997158973092392,,True
2023-09-08,0.6010373892370867,0.40570083528411843,0.10925853275794432,0.18330916700685923,0.001929,False
2023-09-09,0.6057423166524407,0.3960051544033334,0.11031179206124568,0.18481468700806922,,True
2023-09-10,0.6042794404444025,0.3913609088952623,0.11007877877833913,0.18457552915181968,,True
2023-09-11,0.5981539096206966,0.3840722061507504,0.10880669009750166,0.18304205092857173,,True
2023-09-12,0.5888708731890473,0.3744993161719762,0.10674272320701021,0.1806646098287864,,True
2023-09-13,0.5779354801571785,0.3630025089611185,0.10413407529514182,0.17789356334292483,,True
2023-09-14,0.5668528795328152,0.34994205452035604,0.10122794355017345,0.17517926896144814,,True
2023-09-15,0.5571282203236813,0.3356782228518674,0.09827152516038215,0.1729720841748174,,True
2023-09-16,0.5502666515375014,0.3534146452695151,0.09551201731404489,0.17172236647349381,4.558094,False
2023-09-17,0.547352948887004,0.30487257012940583,0.09316102634233503,0.17174022916938927,,True
2023-09-18,0.5477903949049359,0.28872609642678215,0.09128779514801168,0.1727748088602195,,True
2023-09-19,0.5505618988290477,0.2721669401991309,0.08992597577673034,0.17443499796515125,,True
2023-09-20,0.5546503698970907,0.25523017879562265,0.08910922027414646,0.17632968890335107,,True
2023-09-21,0.5590387173468157,0.23795088956542818,0.08887118068591549,0.17806777409398558,,True
2023-09-22,0.5627098504159738,0.22036414985771802,0.08924550905769296,0.17925814595622147,,True
2023-09-23,0.5646466783423155,0.20250503702166284,0.09026585743513431,0.17950969690922533,,True
2023-09-24,0.5638321103635923,0.18440862840643324,0.09196587786389504,0.17843131937216378,,True
2023-09-25,0.5592490557175549,0.1661100013611997,0.09437922238963062,0.17563190576420348,,True
2023-09-26,0.5498804236419541,0.351856990227486,0.0975395430579965,0.17072034850451104,0.549235,False
2023-09-27,0.5347091233745412,0.12913645222744616,0.10148049191464824,0.16330554001225317,,True
2023-09-28,0.512718064153067,0.34478268288321734,0.10623572100524124,0.1529963727065964,0.482044,False
